게임소프트웨어와서비스,담배, 판매업체,항공사,카드,레저용장비와제품,화장품,방송과엔터테인먼트,건강관리장비와용품,전자제품,무역회사와판매업체,생명과학도구및서비스,통신장비,석유와가스,상업서비스와공급품,백화점과일반상점,IT서비스,핸드셋,건강관리기술,가정용기기와용품,인터넷과카탈로그소매,음료,건축자재,교육서비스,기타금융,제약,가정용품,디스플레이장비및부품,출판,식품,"호텔,레스토랑,레저",건설,조선,건축제품,사무용전자제품,인터넷소프트웨어와서비스,기계,도로와철도운송,부동산,반도체와반도체장비,손해보험,우주항공과국방,소프트웨어,신용평가서비스,종이와목재,자동차부품,비철금속,가스유틸리티,포장재,다각화된통신서비스,디스플레이패널,건강관리업체및서비스,"섬유,의류,신발,호화품",항공화물운송과물류,운송인프라,식품과기본식료품소매,에너지장비및서비스,컴퓨터와주변기기,광고,결제관련서비스,전문소매,복합유틸리티,전기유틸리티,증권,전기장비,전기제품,화학,문구류,복합기업,생물공학,독립전력생산및에너지거래,철강,생명보험,전자장비와기기,자동차,가구,무선통신서비스,창업투자,은행,해운사
,,,,,,,대원미디어,,,,,아이앤씨,,,,쌍용정보통신,성우전자,,,,,,,,휴온스글로벌,,루미마이크로,,한탑,,포워드컴퍼니스,,,,,영풍정밀,,,삼성전자,,,,,,한국프랜지,,,,,,,휠라코리아,,,,,,,,,,,,,,나노신소재,,,,,동양철관,,동일기연,,,,,,
,,,,,,,갤럭시아에스엠,,,,,감마누,,,,미래아이앤지,EMW,,,,,,,,부광약품,,디에스케이,,동서,,서희건설,,,,,웰크론한텍,,,미래산업,,,,,,지코,,,,,,,SG세계물산,,,,,,,,,,,,,,바이온,,,,,한국특수형강,,아이엠,,,,,,
,,,,,,,,,,,,,,,,동양네트웍스,일야,,,,,,,,삼진제약,,인지디스플레,,마니커,,동부건설,,,,,포메탈,,,케이씨텍,,,,,,청보산업,,,,,,,TBH글로벌,,,,,,,,,,,,,,코오롱인더,,,,,KISCO홀딩스,,광전자,,,,,,
,,,,,,,,,,,,,,,,갤럭시아컴즈,인탑스,,,,,,,,KPX생명과학,,SK머티리얼즈,,제일홀딩스,,에쓰씨엔지니어링,,,,,대창단조,,,SFA반도체,,,,,,상신브레이크,,,,,,,리노스,,,,,,,,,,,,,,금호석유,,,,,,,고영,,,,,,
,,,,,,,,,,,,,,,,,멜파스,,,,,,,,종근당홀딩스,,참엔지니어링,,CJ씨푸드,,태영건설,,,,,케이피티,,,KMH하이텍,,,,,,오리엔트정공,,,,,,,원풍물산,,,,,,,,,,,,,,KPX케미칼,,,,,,,LG이노텍,,,,,,
,,,,,,,,,,,,,,,,,에스맥,,,,,,,,동국제약,,디이엔티,,대주산업,,삼호개발,,,,,우진,,,에이티테크놀러지,,,,,,넥센테크,,,,,,,아비스타,,,,,,,,,,,,,,롯데정밀화학,,,,,,,이녹스,,,,,,
,,,,,,,,,,,,,,,,,엘컴텍,,,,,,,,안국약품,,파인디앤씨,,농심홀딩스,,현대산업,,,,,동일고무벨트,,,오디텍,,,,,,대성파인텍,,,,,,,화승엔터프라이즈,,,,,,,,,,,,,,삼영무역,,,,,,,아이디스,,,,,,
,,,,,,,,,,,,,,,,,모베이스,,,,,,,,디에이치피코리아,,탑엔지니어링,,샘표,,KT서브마린,,,,,수산중공업,,,네패스신소재,,,,,,코리아오토글라스,,,,,,,신원,,,,,,,,,,,,,,AK홀딩스,,,,,,,카스,,,,,,
,,,,,,,,,,,,,,,,,바이오로그디바이스,,,,,,,,광동제약,,로체시스템즈,,신라교역,,금호산업,,,,,디와이,,,제이티,,,,,,금호에이치티,,,,,,,제이에스코퍼레이션,,,,,,,,,,,,,,쎄노텍,,,,,,,크레아플래닛,,,,,,
,,,,,,,,,,,,,,,,,동운아나텍,,,,,,,,에스텍파마,,오성엘에스티,,동우팜투테이블,,일성건설,,,,,아세아텍,,,다믈멀티미디어,,,,,,에스앤씨엔진그룹,,,,,,,진도,,,,,,,,,,,,,,영보화학,,,,,,,인터엠,,,,,,
,,,,,,,,,,,,,,,,,코아시아홀딩스,,,,,,,,녹십자홀딩스,,에스엔텍,,푸드웰,,코오롱글로벌,,,,,코메론,,,칩스앤미디어,,,,,,뉴프라이드,,,,,,,아즈텍WB,,,,,,,,,,,,,,효성,,,,,,,에스텍,,,,,,
,,,,,,,,,,,,,,,,,모다이노칩,,,,,,,,화일약품,,AP시스템,,사조대림,,,,,,,한국정밀기계,,,알파홀딩스,,,,,,S&T모티브,,,,,,,데코앤이,,,,,,,,,,,,,,상아프론테크,,,,,,,삼화전자,,,,,,
,,,,,,,,,,,,,,,,,파인텍,,,,,,,,종근당바이오,,루멘스,,서울식품,,,,,,,STX중공업,,,램테크놀러지,,,,,,에스제이케이,,,,,,,LF,,,,,,,,,,,,,,남해화학,,,,,,,써니전자,,,,,,
,,,,,,,,,,,,,,,,,캠시스,,,,,,,,한독,,티엘아이,,고려산업,,,,,,,현대건설기계,,,성우테크론,,,,,,서연,,,,,,,한세예스24홀딩스,,,,,,,,,,,,,,금양,,,,,,,신성델타테크,,,,,,
,,,,,,,,,,,,,,,,,코렌,,,,,,,,우진비앤지,,지디,,보락,,,,,,,이엠코리아,,,유니퀘스트,,,,,,유성기업,,,,,,,인디에프,,,,,,,,,,,,,,대한화섬,,,,,,,삼성전기,,,,,,
,,,,,,,,,,,,,,,,,이미지스,,,,,,,,씨케이에이치,,미래나노텍,,케이씨피드,,,,,,,케이피에프,,,넥스트칩,,,,,,세원물산,,,,,,,신성통상,,,,,,,,,,,,,,유니드,,,,,,,심텍,,,,,,
,,,,,,,,,,,,,,,,,알에프세미,,,,,,,,진양제약,,아바텍,,해마로푸드서비스,,,,,,,KC코트렐,,,ISC,,,,,,풍강,,,,,,,에스마크,,,,,,,,,,,,,,이엔에프테크놀로지,,,,,,,백금T&A,,,,,,
,,,,,,,,,,,,,,,,,서울리거,,,,,,,,조아제약,,우리이앤엘,,사조오양,,,,,,,파라텍,,,원익홀딩스,,,,,,골든센츄리,,,,,,,코웰패션,,,,,,,,,,,,,,SK케미칼,,,,,,,유니온커뮤니티,,,,,,
,,,,,,,,,,,,,,,,,에이치엔티,,,,,,,,JW중외제약,,엘아이에스,,롯데지주,,,,,,,흥국,,,솔브레인,,,,,,성우하이텍,,,,,,,대한방직,,,,,,,,,,,,,,와이엠티,,,,,,,대주전자재료,,,,,,
,,,,,,,,,,,,,,,,,나무가,,,,,,,,지엘팜텍,,쎄미시스코,,롯데제과,,,,,,,한신기계,,,제우스,,,,,,디아이씨,,,,,,,코오롱머티리얼,,,,,,,,,,,,,,백광산업,,,,,,,이녹스첨단소재,,,,,,
,,,,,,,,,,,,,,,,,텔루스,,,,,,,,일양약품,,위지트,,선진,,,,,,,에이치케이,,,테스나,,,,,,팬스타엔터프라이즈,,,,,,,,,,,,,,,,,,,,,대한유화,,,,,,,비에이치,,,,,,
,,,,,,,,,,,,,,,,,엔알케이,,,,,,,,한미사이언스,,톱텍,,,,,,,,,부스타,,,코디,,,,,,SG충방,,,,,,,,,,,,,,,,,,,,,HRS,,,,,,,ITX엠투엠,,,,,,
,,,,,,,,,,,,,,,,,이엘케이,,,,,,,,동아에스티,,사파이어테크놀로지,,,,,,,,,삼원테크,,,기가레인,,,,,,영신금속,,,,,,,,,,,,,,,,,,,,,이화산업,,,,,,,일진머티리얼즈,,,,,,
,,,,,,,,,,,,,,,,,한솔시큐어,,,,,,,,알보젠코리아,,새로닉스,,,,,,,,,동국S&C,,,한미반도체,,,,,,삼보모터스,,,,,,,,,,,,,,,,,,,,,대정화금,,,,,,,알에스오토메이션,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,휴온스,,힘스,,,,,,,,,계양전기,,,케이엠,,,,,,광진윈텍,,,,,,,,,,,,,,,,,,,,,LG화학,,,,,,,아이씨케이,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,삼일제약,,연이정보통신,,,,,,,,,뉴로스,,,프로텍,,,,,,엔브이에이치코리아,,,,,,,,,,,,,,,,,,,,,미원홀딩스,,,,,,,이디,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,JW홀딩스,,리드,,,,,,,,,동양피엔에프,,,해성디에스,,,,,,대유에이텍,,,,,,,,,,,,,,,,,,,,,애경유화,,,,,,,인터플렉스,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,유한양행,,상보,,,,,,,,,비에이치아이,,,미코,,,,,,유라테크,,,,,,,,,,,,,,,,,,,,,한일화학,,,,,,,상신전자,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,경동제약,,휘닉스소재,,,,,,,,,넥스턴,,,예스티,,,,,,네오티스,,,,,,,,,,,,,,,,,,,,,휴켐스,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,신일제약,,인베니아,,,,,,,,,두산밥캣,,,오킨스전자,,,,,,캐스텍코리아,,,,,,,,,,,,,,,,,,,,,카프로,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,고려제약,,선익시스템,,,,,,,,,대경기계,,,동부하이텍,,,,,,케이엔더블유,,,,,,,,,,,,,,,,,,,,,웅진에너지,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,대성미생물,,APS홀딩스,,,,,,,,,서암기계공업,,,윈팩,,,,,,삼원강재,,,,,,,,,,,,,,,,,,,,,나노캠텍,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,경남제약,,에스엔유,,,,,,,,,우진플라임,,,서플러스글로벌,,,,,,서진오토모티브,,,,,,,,,,,,,,,,,,,,,한솔케미칼,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,경보제약,,엘엠에스,,,,,,,,,두산중공업,,,테라셈,,,,,,SJM,,,,,,,,,,,,,,,,,,,,,태경화학,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,휴메딕스,,아나패스,,,,,,,,,대동기어,,,하나마이크론,,,,,,모트렉스,,,,,,,,,,,,,,,,,,,,,에스에프씨,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,이수앱지스,,제이스텍,,,,,,,,,맥스로텍,,,SK하이닉스,,,,,,동아화성,,,,,,,,,,,,,,,,,,,,,이수화학,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,진바이오텍,,피엔티,,,,,,,,,에버다임,,,KEC,,,,,,세동,,,,,,,,,,,,,,,,,,,,,코오롱플라스틱,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,삼성바이오로직스,,미래컴퍼니,,,,,,,,,이엔쓰리,,,하이셈,,,,,,한국단자,,,,,,,,,,,,,,,,,,,,,롯데케미칼,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,일동제약,,유양디앤유,,,,,,,,,이더블유케이,,,아이텍반도체,,,,,,핸즈코퍼레이션,,,,,,,,,,,,,,,,,,,,,한화케미칼,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,셀트리온제약,,브이원텍,,,,,,,,,유지인트,,,한양디지텍,,,,,,대동금속,,,,,,,,,,,,,,,,,,,,,테이팩스,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,JW생명과학,,코이즈,,,,,,,,,삼익THK,,,픽셀플러스,,,,,,동원금속,,,,,,,,,,,,,,,,,,,,,켐트로닉스,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,셀트리온,,,,,,,,,,,나라케이아이씨,,,오션브릿지,,,,,,만도,,,,,,,,,,,,,,,,,,,,,후성,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,셀트리온헬스케어,,,,,,,,,,,수성,,,피에스엠씨,,,,,,일정실업,,,,,,,,,,,,,,,,,,,,,동성화학,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,우리들제약,,,,,,,,,,,우림기계,,,디아이,,,,,,현대공업,,,,,,,,,,,,,,,,,,,,,한국석유,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,바이넥스,,,,,,,,,,,한국주강,,,바른전자,,,,,,유니테크노,,,,,,,,,,,,,,,,,,,,,한국알콜,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,파마리서치프로덕트,,,,,,,,,,,씨에스윈드,,,원익IPS,,,,,,네오오토,,,,,,,,,,,,,,,,,,,,,코스모화학,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,비씨월드제약,,,,,,,,,,,조광ILI,,,아이원스,,,,,,현대EP,,,,,,,,,,,,,,,,,,,,,한화,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,유나이티드제약,,,,,,,,,,,에이테크솔루션,,,옵토팩,,,,,,삼기오토모티브,,,,,,,,,,,,,,,,,,,,,태광산업,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,동아쏘시오홀딩스,,,,,,,,,,,디와이파워,,,마이크로프랜드,,,,,,코다코,,,,,,,,,,,,,,,,,,,,,리켐,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,서울제약,,,,,,,,,,,에쎈테크,,,제너셈,,,,,,대우부품,,,,,,,,,,,,,,,,,,,,,티케이케미칼,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,현성바이탈,,,,,,,,,,,,,,엘오티베큠,,,,,,구영테크,,,,,,,,,,,,,,,,,,,,,KPX홀딩스,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,넥스트BT,,,,,,,,,,,,,,엔시트론,,,,,,화승알앤에이,,,,,,,,,,,,,,,,,,,,,켐트로스,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,대웅,,,,,,,,,,,,,,에이디칩스,,,,,,코프라,,,,,,,,,,,,,,,,,,,,,한화우,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,씨티씨바이오,,,,,,,,,,,,,,마이크로컨텍솔,,,,,,모토닉,,,,,,,,,,,,,,,,,,,,,와이오엠,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,에이치엘사이언스,,,,,,,,,,,,,,타이거일렉,,,,,,평화홀딩스,,,,,,,,,,,,,,,,,,,,,SKC코오롱PI,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,이연제약,,,,,,,,,,,,,,티에스이,,,,,,서연이화,,,,,,,,,,,,,,,,,,,,,에코프로,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,신신제약,,,,,,,,,,,,,,에스티아이,,,,,,일지테크,,,,,,,,,,,,,,,,,,,,,코스모신소재,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,코오롱생명과학,,,,,,,,,,,,,,,,,,,,금호타이어,,,,,,,,,,,,,,,,,,,,,원익머트리얼즈,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서연탑메탈,,,,,,,,,,,,,,,,,,,,,코오롱,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한국타이어,,,,,,,,,,,,,,,,,,,,,엔피케이,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,넥센타이어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,태원물산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,아진산업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경창산업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한라홀딩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동국실업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRB동일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유니크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서연전자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,티피씨글로벌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,우신시스템,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한온시스템,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에코플라스틱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한국타이어월드와이드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,성창오토텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,대성엘텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,덕양산업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,미동앤씨네마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,지엠비코리아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,디젠스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,우리산업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,우수AMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,세방전지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,영화테크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,엠에스오토텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,평화정공,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에이엔피,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,이젠텍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼보산업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
